SCOMA;Z.I. de la Louperoute de la Fontaine-Simon;28240;LA LOUPE;1;12;2012
EMBALPRO INDUSTRIE;Route de BaillarguesZone du Bosc;34130;MUDAISON;1;12;2027
VALEO CRETEIL RUE BOULLE;2, rue André Boulle;94046;CRETEIL CEDEX;1;12;2034
ADEZIF CARTHA;17, rue de l'Amiral Courbet;76600;LE HAVRE;1;12;2039
AFMECH SITE DE INGELHEIM;Neisser Strasse 8;D-55218;INGELHEIM AM RHEIN;1;12;2073
POLISSAGE RAY;;;ANDREZIEUX BOUTHEON;1;12;2078
THERMI-LYON;13 Avenue du Château de Gerland;69353;LYON cedex 07;1;12;2112
MC2 CHIMIE;26, avenue Gustave Eiffel;33695;MERIGNAC CEDEX;1;12;2114
OXYMETAL SITE DE BORDEAUX;13, rue jean-Paul Alaux;33072;BORDEAUX CEDEX;1;12;2115
DMA METALIA INDUSTRIE;Z.A de la Lande du Guenêt;35600;Sainte Marie;1;12;2127
ROBERT BOSCH (FRANCE) SITE DE MONDEVILLE * BOSCH;15, rue Charles Coulomb;14120;MONDEVILLE;1;12;2129
I.D'FIX * IDFIX * ID FIX;rue ColibriParc d'activité des Oiseaux;62218;LOISONS SOUS LENS;1;12;2169
OREXAD PAU SITE DE LONS;Avenue André Marie Ampère;64140;LONS;1;12;2263
JTEKT KOYO BEARINGS SITE DE MAROMME;7 rue Ampère;76150;MAROMME;1;12;2270
FRIOTHERM;27, rue d'Arras;92000;NANTERRE;1;12;2312
FRIOTHERM;27, rue d'Arras;92000;NANTERRE;1;12;2312
VALEO CRETEIL RUE PERRET;76, rue Auguste Perret;94000;CRETEIL;1;12;2329
OREXAD SITE DE TOURS;42, rue Gustave Eiffel;37000;TOURS;1;12;2336
L'UNIVERS DE L'EMBALLAGE AGENCE D'ANGERS * DISPACK;28-30 Rue du Bon Puits;49480;SAINT SYLVAIN D'ANJOU;1;12;2389
CMD GEARS * CIF;Immeubles Du Mont - Batiment B53, Avenue de l`Europe;59223;Roncq;1;12;2404
STOLZ;82, route de Boisjean;62170;WAILLY BEAUCAMP;1;12;2409
MGB3000;40, avenue de l'industrie;19360;MALEMORT sur CORREZE;1;12;2423
OTIS;ZI des MontoiresAv des Montoires;45500;GIEN;1;12;2481
FORGITAL DEMBIERMONT SITE DE HAUMONT;4, rue Jules Campagne;59330;HAUTMONT;1;12;2499
KOOLDRUM;14 rue de la Sensie;22960;PLEDRAN;1;12;2520
LUCHARD * GMD;71, route de Rouenroute de Feuquières;60210;GRANDVILLIERS;1;12;2523
FORGINAL INDUSTRIE;Chemin de la varenne;63307;THIERS CEDEX;1;12;2551
VALEO ETAPLES;Route Hilbert;62 630;ETAPLES SUR MER;1;12;2554
